occurrenceID,institutionCode,catalogNumber,scientificName,order,family,genus,specificEpithet,day,month,year,countryCode,stateProvince,decimalLatitude,decimalLongitude,dynamicProperties,occurrenceRemarks,fieldNotes,body mass,body mass ambiguous,body mass units inferred,ear from notch,ear length,ear length units inferred,embryo count,embryo length,embryo size units inferred,forearm length,hind foot length,hind foot length units inferred,hind foot with claw,lactation,life stage,nipple,nipple count,pregnancy,sex,tail length,tail length estimated,tail length units inferred,testicle description,testicle length,testicle size units inferred,testicle width,total length,total length ambiguous,total length estimated,total length units inferred,tragus length,vagina
4128b38f-512d-44aa-84ed-fd01fd873e2c,ASU,ASUMAC003383,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,27,6,1967,US,Arizona,33.68631,-110.16412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57d133dd-9c13-4ff1-9e23-58d00ec353cb,ASU,ASUMAC004723,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,5,4,1969,US,Arizona,33.87705,-111.81254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8625d19d-2b9f-4dd5-9bf8-c757586cfc5d,ASU,ASUMAC004722,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,8,3,1969,US,Arizona,33.39268,-112.37134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4951da72-b1cf-4966-8ebf-06d02eb68fe2,ASU,ASUMAC001998,"Peromyscus maniculatus (Wagner, 1845)",Rodentia,Cricetidae,Peromyscus,maniculatus,19,3,1966,US,Arizona,34.29753,-110.99706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9d4d6f9-65c2-4f22-b1c0-3042151bce29,ASU,ASUMAC003377,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,21,6,1967,US,Arizona,34.17634,-110.46925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b37efec6-c575-4ae9-bffa-b72fe8f016cc,ASU,ASUMAC003375,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,21,6,1967,US,Arizona,34.1758,-110.46899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3f15f4-574b-40de-8259-e8b4f2685426,ASU,ASUMAC004721,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,18,4,1969,US,Arizona,33.67325,-111.89061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e409071-2133-4784-9ca4-62f7b3b58435,ASU,ASUMAC001997,"Dipodomys deserti Stephens, 1887",Rodentia,Heteromyidae,Dipodomys,deserti,6,3,1966,US,Arizona,33.7248,-112.04694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028f9c78-a63a-460a-8a71-d2a514c2bf46,ASU,ASUMAC001991,"Peromyscus maniculatus (Wagner, 1845)",Rodentia,Cricetidae,Peromyscus,maniculatus,19,3,1966,US,Arizona,34.31825,-111.08568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babfe7e7-5596-42bf-a1f8-888cc26791ca,ASU,ASUMAC003376,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,21,6,1967,US,Arizona,34.17573,-110.46937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60fb80eb-dc07-4a50-a6ed-fb3d8d852214,ASU,ASUMAC004716,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,29,3,1969,US,Arizona,33.51813,-111.67465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e47ecb28-7a5d-476b-b0b1-6a8e26234173,ASU,ASUMAC001996,"Ammospermophilus harrisii (Audubon & Bachman, 1854)",Rodentia,Sciuridae,Ammospermophilus,harrisii,5,3,1966,US,Arizona,33.90552,-111.81689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39d36d05-0655-4571-96eb-3e48546bfa1e,ASU,ASUMAC004715,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,18,3,1969,US,Arizona,33.51571,-111.69175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8033009-fd49-4398-9716-551f0b1e9487,ASU,ASUMAC003369,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,26,6,1967,US,Arizona,33.73526,-110.15931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36a46add-8741-4a58-b97f-3f8a59dd1389,ASU,ASUMAC003370,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,10,7,1967,US,Arizona,32.70023,-109.78708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c327ad8-059e-4ac3-abe9-9782e7b18952,ASU,ASUMAC003373,"Callospermophilus lateralis (Say, 1823)",Rodentia,Sciuridae,Callospermophilus,lateralis,8,7,1967,US,Arizona,33.72576,-109.20007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c25c418-12b9-4c1c-af69-f34b7bb869ff,ASU,ASUMAC001990,"Chaetodipus penicillatus (Woodhouse, 1852)",Rodentia,Heteromyidae,Chaetodipus,penicillatus,12,4,1966,US,Arizona,33.39192,-112.16831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a047ca7a-c039-4a99-af1d-3b6cbb15722f,ASU,ASUMAC004713,"Peromyscus truei (Shufeldt, 1885)",Rodentia,Cricetidae,Peromyscus,truei,23,3,1969,US,California,34.75155,-118.73328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eae58af-9355-4e5c-8f66-c7dae3365c08,ASU,ASUMAC004719,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,18,3,1969,US,Arizona,33.5195,-111.67547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903a9928-7e12-4133-b7ae-c92bda3bd9ca,ASU,ASUMAC003368,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,24,6,1967,US,Arizona,33.73565,-110.15953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bd721d0-9d17-44f3-9f1c-7e6ed830ab06,ASU,ASUMAC003367,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,23,6,1967,US,Arizona,34.13443,-110.50823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ecb2d5e-1ee0-4d67-9b86-e3d33cca70eb,ASU,ASUMAC004714,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,11,3,1969,US,Arizona,33.57986,-111.64693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c764e74e-605d-4ce0-a194-ab058ecaf4b3,ASU,ASUMAC001989,"Taxidea taxus (Schreber, 1777)",Carnivora,Mustelidae,Taxidea,taxus,16,3,1966,US,Arizona,33.40746,-111.92626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3c89066-a2f8-49ae-98d9-e9f01bf51624,ASU,ASUMAC004711,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,23,4,1969,US,Arizona,33.52681,-111.65845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13d85500-0e3b-43fe-9617-34605b689841,ASU,ASUMAC004720,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,15,5,1969,US,Arizona,33.52064,-111.75716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff71594f-4bdc-4ac6-98b8-cf7d00a40b7b,ASU,ASUMAC001995,"Chaetodipus baileyi (Merriam, 1894)",Rodentia,Heteromyidae,Chaetodipus,baileyi,27,4,1966,US,Arizona,33.83162,-111.4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81f287d5-c9b2-47a8-b06d-ff492f764b79,ASU,ASUMAC001994,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,27,4,1966,US,Arizona,33.83219,-111.46986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6493eeb9-d96a-4266-b898-5395374cd115,ASU,ASUMAC003374,"Callospermophilus lateralis (Say, 1823)",Rodentia,Sciuridae,Callospermophilus,lateralis,30,6,1967,US,Arizona,33.78075,-109.58266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40417576-99b0-4a6b-b367-6239dcfe9829,ASU,ASUMAC003371,"Peromyscus maniculatus (Wagner, 1845)",Rodentia,Cricetidae,Peromyscus,maniculatus,26,6,1967,US,Arizona,33.73533,-110.15978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111a7a89-ab31-46be-822e-44dc76fcd63f,ASU,ASUMAC004718,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,5,5,1969,US,Arizona,33.52529,-111.67199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9a15674-9851-40a3-9184-add1307eeb67,ASU,ASUMAC004717,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,18,3,1969,US,Arizona,33.51641,-111.68315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83d436c9-6139-40e7-860a-0cc02c88e1a9,ASU,ASUMAC001993,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,26,4,1966,US,Arizona,33.83298,-111.47055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16718868-c8b6-4f50-ba00-63501036c145,ASU,ASUMAC003372,"Dipodomys ordii Woodhouse, 1853",Rodentia,Heteromyidae,Dipodomys,ordii,26,6,1967,US,Arizona,33.73531,-110.15976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd4a8ee5-9e45-4cd4-b414-727d64d43158,ASU,ASUMAC001992,"Lepus californicus Gray, 1837",Lagomorpha,Leporidae,Lepus,californicus,17,3,1966,US,Arizona,33.33109,-111.54848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4423daf-efaa-471c-ba59-0010dca29cd3,ASU,ASUMAC004712,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,19,3,1969,US,Arizona,33.5663,-111.7083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d09e5332-fce5-48f8-9bff-7b6041a59169,ASU,ASUMAC003366,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,23,6,1967,US,Arizona,34.13431,-110.50814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0751e23-654f-4f29-bd96-44e3a3bb598b,ASU,ASUMAC004710,"Peromyscus eremicus (Baird, 1857)",Rodentia,Cricetidae,Peromyscus,eremicus,23,4,1969,US,Arizona,33.52673,-111.65839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b18fd819-c541-4a00-8391-9ed032ec5e7b,ASU,ASUMAC003364,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,23,6,1967,US,Arizona,34.1344,-110.50826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770d7ec1-6b5b-4911-aa28-544e0a712ff0,ASU,ASUMAC003365,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,23,6,1967,US,Arizona,34.13431,-110.50823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
